university,year,country,region,institution_type,faculty_count
Ohio State University,2024,USA,North America,R1 Research,1
Universitas Sebelas Maret,2024,Indonesia,Asia,International,4
PolyU Research Institute,2024,Hong Kong,Asia,Research Institute,27
Northwestern University,2024,USA,North America,R1 Research,4
American University,2024,USA,North America,R1 Research,5
NYU Silver School,2024,USA,North America,R1 Research,7
Florida Atlantic University,2024,USA,North America,R1 Research,70
Morgan State University,2024,USA,North America,Regional,8
University of West Florida,2024,USA,North America,Regional,4
Rollins College,2024,USA,North America,Regional,1
Universiti Teknologi Malaysia,2024,Malaysia,Asia,R1 Research,46
Sunway University,2024,Malaysia,Asia,International,10
Universitas Gadjah Mada,2024,Indonesia,Asia,R1 Research,7
Ajman University,2024,UAE,Asia,International,17
American University of the Middle East,2024,Kuwait,Asia,International,5
NUST,2024,Pakistan,Asia,R1 Research,43
Riphah International University,2024,Pakistan,Asia,International,17
Aga Khan University,2024,Pakistan,Asia,R1 Research,27
SRM University-AP,2024,India,Asia,International,7
Vel Tech University,2024,India,Asia,International,7
Wakayama Medical University,2024,Japan,Asia,Medical School,23
University of Colombo,2024,Sri Lanka,Asia,Regional,10
University of Birmingham,2024,UK,Europe,R1 Research,1
University of Florida,2025,USA,North America,R1 Research,6
HKUST Guangzhou,2025,China,Asia,R1 Research,96
Lingnan University,2025,Hong Kong,Asia,R1 Research,43
Shoolini University,2025,India,Asia,International,13
Dhaka University,2025,Bangladesh,Asia,R1 Research,35
King Faisal Specialist Hospital,2025,Saudi Arabia,Asia,Medical School,28
Education University of Hong Kong,2025,Hong Kong,Asia,R1 Research,49
USC Mann School of Pharmacy,2025,USA,North America,R1 Research,12
Baylor University,2025,USA,North America,R1 Research,43
University at Albany SUNY,2025,USA,North America,R1 Research,50
University of Kentucky,2025,USA,North America,R1 Research,136
Dakota State University,2025,USA,North America,Regional,1
Florida Institute of Technology,2025,USA,North America,R1 Research,18
Florida Polytechnic University,2025,USA,North America,Regional,5
South Dakota State University,2025,USA,North America,R1 Research,1
City University of Hong Kong,2025,Hong Kong,Asia,R1 Research,260
Hong Kong Polytechnic University,2025,Hong Kong,Asia,R1 Research,428
University of Hong Kong,2025,Hong Kong,Asia,R1 Research,434
CityUHK Dongguan,2025,China,Asia,R1 Research,37
Hong Kong Baptist University,2025,Hong Kong,Asia,R1 Research,10
BNU-HKBU United International College,2025,China,Asia,International,15
Xiamen University Malaysia,2025,Malaysia,Asia,International,13
National Taiwan University,2025,Taiwan,Asia,R1 Research,229
National Taiwan University of Science and Technology,2025,Taiwan,Asia,R1 Research,69
Indian Institute of Science Bangalore,2025,India,Asia,R1 Research,117
IIT Delhi,2025,India,Asia,R1 Research,107
IIT Kharagpur,2025,India,Asia,R1 Research,93
AIIMS New Delhi,2025,India,Asia,Medical School,56
AIIMS Bathinda,2025,India,Asia,Medical School,3
PGIMER Chandigarh,2025,India,Asia,Medical School,49
Banaras Hindu University,2025,India,Asia,R1 Research,45
Vellore Institute of Technology,2025,India,Asia,International,73
Chitkara University,2025,India,Asia,International,59
Jadavpur University,2025,India,Asia,R1 Research,51
Bahauddin Zakariya University,2025,Pakistan,Asia,R1 Research,10
Universiti Malaya,2025,Malaysia,Asia,R1 Research,101
Universiti Malaysia Sabah,2025,Malaysia,Asia,R1 Research,15
University of Nottingham Malaysia,2025,Malaysia,Asia,International,10
International Islamic University Malaysia,2025,Malaysia,Asia,International,10
Chulalongkorn University,2025,Thailand,Asia,R1 Research,100
Institut Teknologi Bandung,2025,Indonesia,Asia,R1 Research,16
University of Indonesia,2025,Indonesia,Asia,R1 Research,13
Airlangga University,2025,Indonesia,Asia,R1 Research,13
American University of Sharjah,2025,UAE,Asia,International,37
Ajman University,2025,UAE,Asia,International,27
An-Najah National University,2025,Palestine,Asia,International,18
Universitat Autonoma de Barcelona,2025,Spain,Europe,R1 Research,90
University of Minho,2025,Portugal,Europe,R1 Research,69
INRiM,2025,Italy,Europe,Research Institute,9
EMLV Business School Paris,2025,France,Europe,Business School,5
Polish Academy of Sciences Olsztyn,2025,Poland,Europe,Research Institute,9
Massey University,2025,New Zealand,Asia,R1 Research,73
University of Johannesburg,2025,South Africa,Europe,R1 Research,82
Federal University Oye-Ekiti,2025,Nigeria,Europe,International,4
College of Staten Island,2025,USA,North America,Regional,7
NUST,2025,Pakistan,Asia,R1 Research,47
